Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R,,W,Fy,Fz
0.569,7.571,31.813,-1.119,0.101,-0.336,    ,848.689,-64.742,330.706,-171.718,-0.634,178.939,,-172,7.571,64.737
0.824,8.993,31.675,-1.245,0.077,-0.322,    ,848.689,-64.743,330.706,-170.436,-0.61,178.925,,-170,8.993,64.599
0.451,10.513,32.656,-1.286,0.15,-0.451,    ,848.689,-64.743,330.706,-169.324,-0.589,178.913,,-169,10.513,65.58
0.226,11.278,30.204,-1.263,0.052,-0.44,    ,848.689,-64.743,330.706,-168.234,-0.568,178.902,,-168,11.278,63.128
0.402,13.131,30.95,-1.233,0.107,-0.556,    ,848.689,-64.744,330.706,-167.273,-0.549,178.893,,-167,13.131,63.874
0.539,14.769,31.028,-1.381,0.055,-0.498,    ,848.689,-64.744,330.706,-165.691,-0.519,178.878,,-166,14.769,63.952
0.382,15.455,29.949,-1.418,0.067,-0.568,    ,848.689,-64.745,330.706,-164.601,-0.497,178.869,,-165,15.455,62.873
0.167,16.975,29.881,-1.379,0.062,-0.673,    ,848.689,-64.745,330.706,-163.982,-0.485,178.863,,-164,16.975,62.805
0.637,17.171,31.215,-1.569,0.067,-0.649,    ,848.69,-64.745,330.706,-162.806,-0.462,178.854,,-163,17.171,64.139
0.961,17.77,28.008,-1.418,0.018,-0.546,    ,848.689,-64.745,330.706,-161.716,-0.44,178.845,,-162,17.77,60.932
0.667,20.133,28.782,-1.479,0.027,-0.765,    ,848.69,-64.746,330.707,-160.498,-0.415,178.836,,-160,20.133,61.706
0.912,20.466,29.214,-1.582,0.03,-0.748,    ,848.69,-64.746,330.707,-159.301,-0.391,178.828,,-159,20.466,62.138
1.373,20.79,28.125,-1.575,0.001,-0.703,    ,848.69,-64.747,330.707,-158.19,-0.368,178.82,,-158,20.79,61.049
0.961,23.438,27.547,-1.68,-0.031,-0.684,    ,848.69,-64.747,330.707,-157.1,-0.345,178.814,,-157,23.438,60.471
0.99,24.095,28.488,-1.635,-0.038,-0.871,    ,848.69,-64.747,330.707,-155.882,-0.32,178.807,,-156,24.095,61.412
1.491,24.742,26.36,-1.638,-0.03,-0.827,    ,848.69,-64.748,330.707,-154.899,-0.299,178.801,,-155,24.742,59.284
0.902,26.331,27.194,-1.731,-0.033,-0.987,    ,848.69,-64.748,330.707,-153.809,-0.277,178.796,,-154,26.331,60.118
1.118,26.909,25.693,-1.667,-0.083,-0.803,    ,848.691,-64.748,330.707,-152.612,-0.251,178.79,,-153,26.909,58.617
1.079,28.783,24.095,-1.693,-0.13,-0.928,    ,848.691,-64.749,330.707,-151.522,-0.228,178.786,,-152,28.783,57.019
1.324,29.126,24.154,-1.697,-0.108,-0.926,    ,848.691,-64.749,330.708,-150.518,-0.207,178.782,,-151,29.126,57.078
1.069,30.518,24.762,-1.743,-0.16,-1.005,    ,848.691,-64.749,330.708,-149.321,-0.181,178.778,,-149,30.518,57.686
0.735,31.371,22.241,-1.731,-0.208,-1.031,    ,848.691,-64.75,330.708,-148.231,-0.158,178.775,,-148,31.371,55.165
0.569,32.901,22.849,-1.76,-0.165,-1.157,    ,848.691,-64.75,330.708,-146.757,-0.127,178.771,,-147,32.901,55.773
1.02,33.235,22.506,-1.748,-0.194,-1.135,    ,848.692,-64.75,330.708,-146.158,-0.114,178.77,,-146,33.235,55.43
1.755,34.598,21.565,-1.808,-0.252,-0.966,    ,848.692,-64.751,330.708,-144.962,-0.088,178.768,,-145,34.598,54.489
2.324,34.617,19.77,-1.767,-0.315,-0.966,    ,848.692,-64.751,330.709,-143.744,-0.062,178.766,,-144,34.617,52.694
1.579,36.696,20.27,-1.759,-0.227,-1.216,    ,848.692,-64.751,330.709,-142.547,-0.036,178.765,,-143,36.696,53.194
1.549,37.481,20.192,-1.807,-0.307,-1.166,    ,848.692,-64.751,330.709,-141.457,-0.012,178.765,,-141,37.481,53.116
1.589,38.795,18.182,-1.872,-0.401,-1.172,    ,848.693,-64.752,330.709,-140.26,0.013,178.765,,-140,38.795,51.106
1.363,39.511,17.524,-1.733,-0.405,-1.166,    ,848.693,-64.752,330.71,-139.064,0.039,178.765,,-139,39.511,50.448
1.814,40.345,17.407,-1.79,-0.253,-1.248,    ,848.693,-64.752,330.71,-137.952,0.063,178.766,,-138,40.345,50.331
1.961,40.776,16.681,-1.83,-0.317,-1.359,    ,848.693,-64.752,330.71,-136.777,0.088,178.768,,-137,40.776,49.605
1.187,41.992,14.808,-1.823,-0.432,-1.367,    ,848.693,-64.753,330.71,-136.157,0.102,178.769,,-136,41.992,47.732
1.657,42.463,15.122,-1.853,-0.38,-1.445,    ,848.694,-64.753,330.711,-134.961,0.127,178.771,,-135,42.463,48.046
2.226,43.463,15.043,-1.797,-0.348,-1.358,    ,848.694,-64.753,330.711,-133.742,0.154,178.774,,-134,43.463,47.967
0.853,44.699,12.376,-1.769,-0.553,-1.376,    ,848.694,-64.753,330.711,-132.524,0.18,178.778,,-133,44.699,45.3
1.481,44.963,11.788,-1.778,-0.531,-1.493,    ,848.694,-64.754,330.711,-131.285,0.206,178.782,,-131,44.963,44.712
3.06,45.836,11.405,-1.772,-0.41,-1.354,    ,848.694,-64.754,330.712,-130.109,0.231,178.787,,-130,45.836,44.329
1.814,47.739,10.964,-1.797,-0.527,-1.574,    ,848.694,-64.754,330.712,-129.126,0.252,178.791,,-129,47.739,43.888
2.412,47.366,8.257,-1.715,-0.614,-1.501,    ,848.695,-64.754,330.712,-128.101,0.273,178.796,,-128,47.366,41.181
2.403,48.357,8.061,-1.748,-0.662,-1.387,    ,848.695,-64.754,330.713,-126.925,0.298,178.801,,-127,48.357,40.985
1.402,49.308,8.473,-1.785,-0.683,-1.54,    ,848.695,-64.755,330.713,-125.707,0.323,178.808,,-126,49.308,41.397
1.451,49.739,6.482,-1.772,-0.737,-1.641,    ,848.695,-64.755,330.713,-124.489,0.349,178.815,,-124,49.739,39.406
1.432,50.818,3.825,-1.683,-0.875,-1.636,    ,848.695,-64.755,330.714,-123.485,0.369,178.822,,-123,50.818,36.749
3.285,51.426,3.452,-1.714,-0.779,-1.615,    ,848.695,-64.755,330.714,-122.48,0.39,178.828,,-122,51.426,36.376
2.883,51.161,3.481,-1.678,-0.834,-1.549,    ,848.696,-64.755,330.714,-121.39,0.412,178.836,,-121,51.161,36.405
2.393,53.24,2.559,-1.752,-0.887,-1.787,    ,848.696,-64.755,330.715,-120.151,0.437,178.845,,-120,53.24,35.483
2.265,52.77,1.285,-1.632,-0.899,-1.746,    ,848.696,-64.756,330.715,-118.932,0.462,178.855,,-119,52.77,34.209
3.491,53.054,-0.049,-1.591,-0.944,-1.641,    ,848.696,-64.756,330.715,-118.313,0.474,178.86,,-118,53.054,32.875
3.452,53.642,-0.647,-1.573,-0.941,-1.676,    ,848.696,-64.756,330.716,-116.988,0.5,178.871,,-117,53.642,32.277
2.805,54.898,-0.608,-1.662,-1.013,-1.767,    ,848.696,-64.756,330.716,-115.791,0.524,178.882,,-116,54.898,32.316
1.716,55.182,-3.707,-1.53,-1.112,-1.891,    ,848.697,-64.756,330.717,-114.573,0.548,178.893,,-115,55.182,29.217
3.844,55.466,-3.913,-1.543,-1.099,-1.808,    ,848.697,-64.756,330.717,-113.376,0.571,178.905,,-113,55.466,29.011
3.932,57.006,-6.443,-1.416,-1.142,-1.765,    ,848.697,-64.756,330.717,-112.136,0.594,178.918,,-112,57.006,26.481
3.05,56.163,-5.541,-1.448,-1.117,-1.877,    ,848.697,-64.756,330.718,-111.174,0.612,178.928,,-111,56.163,27.383
2.295,56.496,-6.718,-1.434,-1.243,-1.854,    ,848.697,-64.756,330.718,-110.063,0.633,178.94,,-110,56.496,26.206
3.236,57.428,-8.767,-1.369,-1.285,-1.902,    ,848.697,-64.756,330.718,-108.93,0.654,178.953,,-109,57.428,24.157
4.59,57.104,-10.14,-1.286,-1.29,-1.816,    ,848.697,-64.756,330.719,-107.776,0.675,178.966,,-108,57.104,22.784
3.854,57.575,-12.17,-1.164,-1.363,-1.801,    ,848.698,-64.757,330.719,-106.558,0.697,178.981,,-107,57.575,20.754
3.991,57.967,-13.141,-1.133,-1.345,-1.919,    ,848.698,-64.756,330.719,-106.066,0.705,178.987,,-106,57.967,19.783
2.736,58.497,-12.749,-1.18,-1.363,-1.922,    ,848.698,-64.757,330.72,-104.805,0.728,179.002,,-105,58.497,20.175
4.011,58.84,-14.651,-1.086,-1.394,-1.867,    ,848.698,-64.757,330.72,-103.672,0.747,179.017,,-104,58.84,18.273
4.56,59.615,-17.083,-1.038,-1.534,-1.917,    ,848.698,-64.757,330.721,-102.475,0.767,179.033,,-102,59.615,15.841
3.717,60.232,-17.456,-1.109,-1.537,-1.903,    ,848.698,-64.757,330.721,-101.278,0.787,179.049,,-101,60.232,15.468
4.178,59.458,-17.377,-1.117,-1.464,-1.835,    ,848.698,-64.757,330.722,-100.06,0.808,179.066,,-100,59.458,15.547
3.197,61.635,-18.947,-1.022,-1.677,-1.996,    ,848.698,-64.757,330.722,-98.863,0.827,179.083,,-99,61.635,13.977
4.59,60.183,-19.143,-0.989,-1.58,-1.794,    ,848.698,-64.757,330.722,-98.265,0.836,179.092,,-98,60.183,13.781
3.285,61.684,-21.555,-0.886,-1.68,-1.939,    ,848.699,-64.757,330.723,-97.046,0.856,179.11,,-97,61.684,11.369
3.344,60.615,-23.016,-0.885,-1.757,-1.877,    ,848.699,-64.757,330.723,-95.806,0.875,179.129,,-96,60.615,9.908
3.648,62.684,-23.761,-0.743,-1.757,-1.879,    ,848.699,-64.757,330.724,-94.609,0.893,179.147,,-95,62.684,9.163
2.991,63.135,-23.713,-0.778,-1.802,-2.033,    ,848.699,-64.757,330.724,-93.412,0.91,179.166,,-93,63.135,9.211
3.334,63.851,-24.409,-0.783,-1.92,-1.904,    ,848.699,-64.757,330.725,-92.173,0.928,179.186,,-92,63.851,8.515
3.883,63.724,-26.547,-0.591,-1.965,-1.842,    ,848.699,-64.757,330.725,-90.954,0.945,179.206,,-91,63.724,6.377
3.825,63.057,-28.498,-0.486,-1.964,-1.887,    ,848.699,-64.757,330.725,-90.462,0.952,179.214,,-90,63.057,4.426
3.54,63.988,-28.91,-0.455,-2.045,-1.913,    ,848.699,-64.757,330.726,-88.774,0.975,179.242,,-89,63.988,4.014
3.491,65.048,-28.881,-0.497,-2.036,-1.898,    ,848.699,-64.756,330.726,-88.282,0.981,179.251,,-88,65.048,4.043
4.923,62.439,-30.45,-0.456,-2.01,-1.76,    ,848.7,-64.756,330.727,-86.578,1.003,179.28,,-87,62.439,2.474
4.011,65.391,-33.411,-0.217,-2.228,-1.858,    ,848.703,-64.745,330.727,-85.85,1.013,179.294,,-86,65.391,-0.487
3.579,63.439,-32.735,-0.309,-2.131,-1.856,    ,848.704,-64.74,330.727,-85.634,1.015,179.299,,-86,63.439,0.189
3.599,63.4,-32.362,-0.33,-2.095,-1.872,    ,848.704,-64.74,330.727,-85.632,1.016,179.299,,-86,63.4,0.562
2.51,64.812,-34.078,-0.231,-2.148,-2.033,    ,848.704,-64.741,330.727,-85.68,1.015,179.298,,-86,64.812,-1.154
4.786,61.478,-32.931,-0.261,-1.949,-1.894,    ,848.7,-64.754,330.727,-86.344,1.006,179.285,,-86,61.478,-0.007
3.717,60.193,-30.41,-0.593,-1.865,-1.805,    ,848.7,-64.756,330.726,-87.534,0.991,179.264,,-88,60.193,2.514
4.433,60.919,-30.695,-0.385,-1.813,-1.842,    ,848.7,-64.756,330.726,-88.667,0.976,179.244,,-89,60.919,2.229
2.501,62.311,-30.626,-0.533,-1.889,-2.02,    ,848.699,-64.757,330.725,-89.8,0.961,179.225,,-90,62.311,2.298
2.658,61.38,-28.802,-0.626,-1.744,-1.835,    ,848.699,-64.756,330.725,-90.997,0.945,179.205,,-91,61.38,4.122
3.54,61.694,-26.733,-0.539,-1.708,-1.97,    ,848.699,-64.757,330.725,-92.215,0.928,179.185,,-92,61.694,6.191
3.776,62.723,-26.811,-0.518,-1.817,-1.885,    ,848.699,-64.757,330.724,-93.305,0.912,179.168,,-93,62.723,6.113
4.599,61.684,-26.321,-0.514,-1.712,-1.714,    ,848.699,-64.757,330.724,-93.925,0.903,179.158,,-94,61.684,6.603
2.216,60.909,-23.948,-0.802,-1.471,-1.866,    ,848.699,-64.757,330.723,-95.614,0.878,179.132,,-96,60.909,8.976
3.187,61.772,-23.899,-0.834,-1.599,-1.781,    ,848.699,-64.757,330.723,-96.704,0.861,179.115,,-97,61.772,9.025
4.472,61.772,-22.173,-0.687,-1.455,-1.768,    ,848.699,-64.757,330.723,-97.687,0.846,179.1,,-98,61.772,10.751
3.462,61.262,-20.839,-0.773,-1.447,-1.77,    ,848.699,-64.757,330.722,-98.799,0.828,179.084,,-99,61.262,12.085
3.697,60.546,-19.957,-0.786,-1.355,-1.732,    ,848.698,-64.757,330.722,-100.017,0.808,179.067,,-100,60.546,12.967
4.001,60.056,-19.103,-0.848,-1.312,-1.683,    ,848.698,-64.757,330.721,-100.616,0.799,179.058,,-101,60.056,13.821
3.158,60.242,-17.328,-0.967,-1.337,-1.645,    ,848.698,-64.756,330.721,-101.834,0.778,179.041,,-102,60.242,15.596
4.021,59.673,-16.926,-0.874,-1.184,-1.699,    ,848.698,-64.756,330.721,-103.052,0.758,179.025,,-103,59.673,15.998
3.001,59.752,-14.504,-1.079,-1.235,-1.71,    ,848.698,-64.756,330.72,-104.164,0.739,179.011,,-104,59.752,18.42
2.04,59.369,-14.288,-1.026,-1.19,-1.796,    ,848.698,-64.756,330.72,-105.275,0.719,178.996,,-105,59.369,18.636
2.491,58.624,-14.18,-1.055,-1.169,-1.702,    ,848.698,-64.756,330.719,-106.387,0.7,178.983,,-106,58.624,18.744
2.108,58.242,-12.072,-1.237,-1.093,-1.548,    ,848.698,-64.756,330.719,-107.477,0.68,178.969,,-107,58.242,20.852
2.56,57.29,-10.532,-1.231,-0.99,-1.559,    ,848.697,-64.756,330.719,-108.716,0.658,178.955,,-109,57.29,22.392
2.648,58.095,-9.522,-1.092,-1.065,-1.617,    ,848.697,-64.756,330.718,-109.935,0.635,178.941,,-110,58.095,23.402
3.109,57.438,-8.512,-1.221,-1.011,-1.58,    ,848.697,-64.756,330.718,-111.003,0.616,178.93,,-111,57.438,24.412
4.178,56.182,-7.816,-1.136,-0.922,-1.445,    ,848.697,-64.756,330.717,-112.222,0.593,178.917,,-112,56.182,25.108
1.657,55.849,-6.875,-1.347,-0.966,-1.538,    ,848.697,-64.756,330.717,-113.333,0.571,178.905,,-113,55.849,26.049
2.736,56.084,-5.502,-1.338,-0.927,-1.597,    ,848.697,-64.756,330.717,-114.53,0.548,178.894,,-115,56.084,27.422
3.991,54.447,-3.197,-1.35,-0.758,-1.397,    ,848.697,-64.756,330.716,-115.662,0.526,178.883,,-116,54.447,29.727
2.187,53.809,-3.03,-1.42,-0.779,-1.503,    ,848.696,-64.756,330.716,-116.774,0.505,178.873,,-117,53.809,29.894
1.226,54.545,-3.383,-1.427,-0.889,-1.507,    ,848.696,-64.756,330.716,-117.372,0.493,178.868,,-117,54.545,29.541
1.5,54.309,-3.854,-1.374,-0.907,-1.555,    ,848.696,-64.755,330.715,-118.59,0.469,178.858,,-119,54.309,29.07
2.157,52.897,0.255,-1.557,-0.726,-1.485,    ,848.696,-64.755,330.715,-119.83,0.444,178.848,,-120,52.897,33.179
1.5,51.916,1.795,-1.652,-0.756,-1.419,    ,848.696,-64.755,330.714,-121.027,0.42,178.839,,-121,51.916,34.719
1.824,51.76,0.863,-1.648,-0.736,-1.427,    ,848.696,-64.755,330.714,-122.288,0.394,178.83,,-122,51.76,33.787
3.02,50.524,1.638,-1.619,-0.595,-1.275,    ,848.695,-64.755,330.714,-123.356,0.372,178.822,,-123,50.524,34.562
2.658,50.955,2.55,-1.515,-0.598,-1.348,    ,848.695,-64.755,330.713,-124.553,0.347,178.815,,-125,50.955,35.474
3.138,49.788,4.207,-1.574,-0.563,-1.375,    ,848.695,-64.755,330.713,-125.75,0.323,178.808,,-126,49.788,37.131
2.206,49.69,4.374,-1.59,-0.706,-1.299,    ,848.695,-64.754,330.713,-126.733,0.302,178.802,,-127,49.69,37.298
2.638,47.101,4.786,-1.646,-0.511,-1.193,    ,848.695,-64.754,330.713,-127.353,0.289,178.799,,-127,47.101,37.71
1.863,47.347,6.943,-1.606,-0.553,-1.338,    ,848.695,-64.754,330.712,-128.571,0.263,178.793,,-129,47.347,39.867
2.422,46.189,8.944,-1.778,-0.491,-1.206,    ,848.694,-64.754,330.712,-129.768,0.238,178.788,,-130,46.189,41.868
2.746,45.709,7.12,-1.699,-0.498,-1.161,    ,848.694,-64.754,330.712,-130.879,0.215,178.784,,-131,45.709,40.044
1.687,44.905,8.13,-1.665,-0.496,-1.299,    ,848.694,-64.754,330.711,-131.905,0.193,178.78,,-132,44.905,41.054
1.677,44.64,9.924,-1.771,-0.454,-1.178,    ,848.694,-64.753,330.711,-133.101,0.167,178.776,,-133,44.64,42.848
2.481,42.777,11.072,-1.694,-0.431,-1.188,    ,848.694,-64.753,330.711,-134.298,0.142,178.773,,-134,42.777,43.996
2.56,41.943,10.709,-1.737,-0.414,-1.033,    ,848.693,-64.753,330.71,-135.388,0.118,178.771,,-135,41.943,43.633
2.432,41.345,11.582,-1.749,-0.328,-1.149,    ,848.693,-64.753,330.71,-136.585,0.093,178.768,,-137,41.345,44.506
1.932,40.041,13.7,-1.764,-0.332,-1.09,    ,848.693,-64.752,330.71,-137.803,0.066,178.767,,-138,40.041,46.624
3.295,38.923,13.808,-1.737,-0.309,-0.888,    ,848.693,-64.752,330.71,-138.893,0.043,178.766,,-139,38.923,46.732
1.952,39.246,13.945,-1.822,-0.261,-0.983,    ,848.693,-64.752,330.709,-140.089,0.017,178.765,,-140,39.246,46.869
1.628,39.197,14.583,-1.791,-0.274,-1.055,    ,848.692,-64.751,330.709,-141.201,-0.007,178.765,,-141,39.197,47.507
2.216,37.52,16.132,-1.786,-0.221,-0.929,    ,848.692,-64.751,330.709,-141.82,-0.02,178.765,,-142,37.52,49.056
1.971,35.883,15.936,-1.855,-0.236,-0.878,    ,848.692,-64.751,330.709,-143.509,-0.057,178.766,,-144,35.883,48.86
1.363,35.647,16.279,-1.756,-0.209,-0.861,    ,848.692,-64.751,330.709,-144.62,-0.081,178.767,,-145,35.647,49.203
2.461,34.421,18.613,-1.749,-0.123,-0.874,    ,848.692,-64.75,330.708,-145.218,-0.094,178.768,,-145,34.421,51.537
2.275,33.343,17.289,-1.698,-0.202,-0.752,    ,848.692,-64.75,330.708,-146.436,-0.12,178.77,,-146,33.343,50.213
1.922,32.225,18.505,-1.805,-0.113,-0.828,    ,848.691,-64.75,330.708,-147.654,-0.146,178.773,,-148,32.225,51.429
1.324,30.96,19.77,-1.749,-0.106,-0.813,    ,848.691,-64.749,330.708,-148.83,-0.171,178.776,,-149,30.96,52.694
2.089,30.44,20.084,-1.707,-0.126,-0.683,    ,848.691,-64.749,330.708,-149.941,-0.195,178.78,,-150,30.44,53.008
2.285,28.528,19.682,-1.715,-0.127,-0.55,    ,848.691,-64.749,330.708,-151.18,-0.221,178.784,,-151,28.528,52.606
1.608,28.91,20.457,-1.685,-0.085,-0.621,    ,848.691,-64.748,330.707,-152.377,-0.246,178.789,,-152,28.91,53.381
1.167,27.243,22.791,-1.634,-0.046,-0.714,    ,848.691,-64.748,330.707,-152.976,-0.259,178.792,,-153,27.243,55.715
1.54,25.978,20.761,-1.601,-0.067,-0.603,    ,848.69,-64.748,330.707,-154.172,-0.284,178.798,,-154,25.978,53.685
1.069,24.517,22.075,-1.598,-0.038,-0.587,    ,848.69,-64.747,330.707,-155.39,-0.31,178.804,,-155,24.517,54.999
1.736,23.34,23.428,-1.651,-0.025,-0.523,    ,848.69,-64.747,330.707,-156.609,-0.335,178.811,,-157,23.34,56.352
1.491,22.349,21.643,-1.532,-0.034,-0.391,    ,848.69,-64.747,330.707,-157.848,-0.361,178.818,,-158,22.349,54.567
1.098,21.604,22.781,-1.51,-0.035,-0.479,    ,848.69,-64.746,330.707,-159.045,-0.385,178.826,,-159,21.604,55.705
1.187,20.319,24.879,-1.574,0.087,-0.515,    ,848.69,-64.746,330.707,-159.643,-0.398,178.83,,-160,20.319,57.803
1.52,19.927,23.487,-1.553,0.025,-0.38,    ,848.69,-64.746,330.707,-160.84,-0.422,178.838,,-161,19.927,56.411
1.098,18.348,24.281,-1.447,0.026,-0.372,    ,848.69,-64.745,330.707,-162.528,-0.456,178.851,,-163,18.348,57.205
1.245,17.779,25.586,-1.498,0.108,-0.401,    ,848.69,-64.745,330.706,-163.597,-0.477,178.86,,-164,17.779,58.51
1.138,15.622,24.389,-1.37,0.043,-0.268,    ,848.69,-64.745,330.706,-164.088,-0.487,178.864,,-164,15.622,57.313
1.304,14.847,24.899,-1.394,0.076,-0.279,    ,848.689,-64.744,330.706,-165.285,-0.511,178.875,,-165,14.847,57.823
0.912,13.533,25.272,-1.318,0.145,-0.268,    ,848.689,-64.744,330.706,-166.503,-0.535,178.886,,-167,13.533,58.196
1.598,12.454,25.586,-1.29,0.109,-0.175,    ,848.689,-64.744,330.706,-167.593,-0.556,178.896,,-168,12.454,58.51
1.147,10.65,26.252,-1.194,0.14,-0.183,    ,848.689,-64.743,330.706,-168.811,-0.579,178.908,,-169,10.65,59.176
0.785,9.699,26.645,-1.173,0.131,-0.165,    ,848.689,-64.743,330.706,-170.008,-0.602,178.92,,-170,9.699,59.569
1.108,8.189,24.644,-0.999,0.115,-0.093,    ,848.689,-64.742,330.706,-171.098,-0.622,178.932,,-171,8.189,57.568
0.843,7.247,26.88,-1.054,0.137,-0.055,    ,848.689,-64.742,330.706,-172.21,-0.643,178.944,,-172,7.247,59.804
1.245,5.992,25.958,-1.007,0.153,-0.025,    ,848.689,-64.742,330.706,-173.406,-0.665,178.958,,-173,5.992,58.882
0.647,5.766,25.478,-1.044,0.136,-0.008,    ,848.689,-64.741,330.706,-174.625,-0.687,178.972,,-175,5.766,58.402
0.834,4.472,25.88,-0.961,0.18,0.017,    ,848.689,-64.741,330.706,-175.822,-0.708,178.987,,-176,4.472,58.804
0.569,3.727,25.919,-0.982,0.178,-0.006,    ,848.69,-64.74,330.706,-176.929,-0.727,179,,-177,3.727,58.843
0.647,1.206,25.233,-0.988,0.15,0.169,    ,848.699,-64.74,330.72,-177.687,-0.738,179.01,,-178,1.206,58.157
0.853,1.844,25.252,-0.865,0.093,0.176,    ,848.704,-64.74,330.727,-177.934,-0.741,179.014,,-178,1.844,58.176
0.863,1.716,25.713,-0.859,0.133,0.142,    ,848.704,-64.74,330.727,-177.938,-0.741,179.014,,-178,1.716,58.637
0.843,1.53,25.105,-0.84,0.129,0.142,    ,848.704,-64.74,330.727,-177.938,-0.741,179.014,,-178,1.53,58.029
0.794,1.677,27.233,-0.84,0.117,0.061,    ,848.695,-64.714,330.715,-177.939,-0.744,179.015,,-178,1.677,60.157
0.637,1.618,27.488,-0.86,0.139,0.056,    ,848.695,-64.714,330.715,-177.939,-0.744,179.015,,-178,1.618,60.412
0.628,1.736,27.41,-0.858,0.131,0.068,    ,848.695,-64.713,330.715,-177.939,-0.744,179.015,,-178,1.736,60.334
0.667,1.53,27.527,-0.856,0.129,0.064,    ,848.695,-64.713,330.715,-177.939,-0.744,179.015,,-178,1.53,60.451
0.559,1.638,27.459,-0.837,0.127,0.063,    ,848.695,-64.713,330.715,-177.939,-0.744,179.015,,-178,1.638,60.383
0.608,1.677,27.547,-0.875,0.118,0.059,    ,848.695,-64.713,330.715,-177.939,-0.744,179.015,,-178,1.677,60.471
0.588,1.53,27.459,-0.837,0.11,0.055,    ,848.695,-64.713,330.715,-177.939,-0.744,179.015,,-178,1.53,60.383
0.706,1.608,27.615,-0.853,0.124,0.061,    ,848.695,-64.713,330.715,-177.939,-0.744,179.015,,-178,1.608,60.539
0.794,1.834,27.606,-0.859,0.127,0.063,    ,848.695,-64.713,330.715,-177.939,-0.744,179.015,,-178,1.834,60.53
0.637,1.716,27.782,-0.862,0.136,0.047,    ,848.695,-64.713,330.715,-177.939,-0.744,179.015,,-178,1.716,60.706
0.5,1.677,27.635,-0.843,0.132,0.062,    ,848.695,-64.713,330.715,-177.939,-0.744,179.015,,-178,1.677,60.559
0.559,1.657,27.38,-0.852,0.124,0.053,    ,848.695,-64.713,330.715,-177.939,-0.744,179.015,,-178,1.657,60.304
0.716,1.579,27.586,-0.845,0.119,0.052,    ,848.695,-64.713,330.715,-177.939,-0.744,179.015,,-178,1.579,60.51
0.647,1.598,27.4,-0.86,0.131,0.054,    ,848.695,-64.713,330.715,-177.939,-0.744,179.015,,-178,1.598,60.324
0.549,1.648,27.939,-0.856,0.126,0.038,    ,848.695,-64.713,330.715,-177.939,-0.744,179.015,,-178,1.648,60.863
0.539,1.589,27.733,-0.853,0.135,0.051,    ,848.695,-64.713,330.715,-177.939,-0.744,179.015,,-178,1.589,60.657
0.53,1.726,27.508,-0.844,0.118,0.055,    ,848.695,-64.713,330.715,-177.939,-0.744,179.015,,-178,1.726,60.432
0.53,1.726,27.508,-0.844,0.118,0.055,    ,848.695,-64.713,330.715,-177.939,-0.744,179.015,,-178,1.726,60.432
0.618,1.677,27.567,-0.839,0.125,0.061,    ,848.695,-64.713,330.715,-177.939,-0.744,179.015,,-178,1.677,60.491
0.755,1.54,27.488,-0.849,0.126,0.054,    ,848.695,-64.712,330.715,-177.939,-0.744,179.015,,-178,1.54,60.412
0.569,1.746,27.625,-0.846,0.13,0.061,    ,848.695,-64.712,330.715,-177.939,-0.744,179.015,,-178,1.746,60.549
0.637,1.559,27.704,-0.838,0.124,0.055,    ,848.695,-64.712,330.715,-177.939,-0.744,179.015,,-178,1.559,60.628
0.598,1.687,27.714,-0.851,0.127,0.051,    ,848.695,-64.712,330.715,-177.939,-0.744,179.015,,-178,1.687,60.638
0.637,1.657,27.635,-0.84,0.116,0.056,    ,848.695,-64.712,330.715,-177.939,-0.744,179.015,,-178,1.657,60.559
0.569,1.579,27.743,-0.849,0.125,0.054,    ,848.695,-64.712,330.715,-177.939,-0.744,179.015,,-178,1.579,60.667
0.608,1.628,27.969,-0.859,0.13,0.05,    ,848.695,-64.712,330.715,-177.939,-0.744,179.015,,-178,1.628,60.893
0.608,1.608,27.714,-0.848,0.13,0.049,    ,848.695,-64.712,330.715,-177.939,-0.744,179.015,,-178,1.608,60.638
0.608,1.608,27.714,-0.848,0.13,0.049,    ,848.695,-64.712,330.715,-177.939,-0.744,179.015,,-178,1.608,60.638
0.569,1.5,28.116,-0.86,0.127,0.044,    ,848.695,-64.712,330.715,-177.939,-0.744,179.015,,-178,1.5,61.04
0.569,1.5,28.116,-0.86,0.127,0.044,    ,848.695,-64.712,330.715,-177.939,-0.744,179.015,,-178,1.5,61.04
0.569,1.5,28.116,-0.86,0.127,0.044,    ,848.695,-64.712,330.715,-177.939,-0.744,179.015,,-178,1.5,61.04
